service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS42025-hbc45fr1-Weekday-02,0,0,0,0,1,0,0,20251114,20251212
BUS42025-hbc45wk1-Weekday-02,1,1,1,1,0,0,0,20251117,20251211
BUS42025-hbg45fr1-Weekday-02,0,0,0,0,1,0,0,20251114,20251212
BUS42025-hbg45wk1-Weekday-02,1,1,1,1,0,0,0,20251117,20251211
BUS42025-hbs45fr1-Weekday-02,0,0,0,0,1,0,0,20251114,20251212
BUS42025-hbs45sp1-Weekday-02,1,1,1,0,0,0,0,20251124,20251126
BUS42025-hbs45sp6-Saturday-02,0,0,0,0,0,1,0,20251122,20251129
BUS42025-hbs45sp7-Sunday-02,0,0,0,0,0,0,1,20251123,20251130
BUS42025-hbs45sw1-Weekday-02,1,1,1,1,0,0,0,20251117,20251211
BUS42025-hbs45sw6-Saturday-02,0,0,0,0,0,1,0,20251206,20251213
BUS42025-hbs45sw7-Sunday-02,0,0,0,0,0,0,1,20251116,20251116
BUS42025-shu45al6-Saturday-02,0,0,0,0,0,1,0,20251115,20251115
BUS42025-shu45al7-Sunday-02,0,0,0,0,0,0,1,20251116,20251116
Boat-EastBoston-Saturday-Fall-25,0,0,0,0,0,1,0,20251115,20251129
Boat-EastBoston-Sunday-Summer-25,0,0,0,0,0,0,1,20251116,20251130
Boat-EastBoston-Weekday-Fall-25,1,1,1,1,1,0,0,20251114,20251126
Boat-F1-HolidayEve-Fall-25,0,0,1,0,0,0,0,20251126,20251126
Boat-F1-Weekday-Fall-25,1,1,1,1,1,0,0,20251114,20251212
Boat-F4-Saturday-Fall-25,0,0,0,0,0,1,0,20251115,20251213
Boat-F4-Sunday-Fall-25,0,0,0,0,0,0,1,20251207,20251207
Boat-F4-Sunday-Summer-25,0,0,0,0,0,0,1,20251116,20251130
Boat-F4-Weekday-Fall-25,1,1,1,1,1,0,0,20251114,20251212
CR-NECEmergencyShuttle-Fall-Weekday,1,1,1,1,1,0,0,20251114,20251205
CR-WorcesterFramingham-Saturday,0,0,0,0,0,1,0,20251115,20251122
CR-WorcesterFramingham-Sunday,0,0,0,0,0,0,1,20251116,20251123
CR-WorcesterFraminghamExpress-Saturday,0,0,0,0,0,1,0,20251115,20251122
CR-WorcesterFraminghamExpress-Sunday,0,0,0,0,0,0,1,20251116,20251123
DayafterThanksgivingDay,0,0,0,0,0,0,0,20251128,20251128
FALL 2025-NORTHSS-Weekend-1,0,0,0,0,0,1,1,20251115,20251213
FALL 2025-NORTHSS-Weekend-1-S6561ad1d,0,0,0,0,0,1,1,20251115,20251213
FALL 2025-NORTHSS-Weekend-1-S7d8482ee,0,0,0,0,0,1,1,20251115,20251213
FALL 2025-NORTHSS-Weekend-1-S9d378dcf,0,0,0,0,0,1,1,20251115,20251213
FALL 2025-NORTHWKD-Weekday-1,1,1,1,1,1,0,0,20251114,20251212
FALL 2025-NORTHWKD-Weekday-1-S6561ad1d,1,1,1,1,1,0,0,20251114,20251212
FALL 2025-NORTHWKD-Weekday-1-S7d8482ee,1,1,1,1,1,0,0,20251114,20251212
FALL 2025-NORTHWKD-Weekday-1-S9d378dcf,1,1,1,1,1,0,0,20251114,20251212
FALL 2025-S-Weekday-1A-BaseUpdated-S86,1,1,1,1,1,0,0,20251208,20251212
FALL 2025-S-Weekday-1A-BaseUpdated-Sb4,1,1,1,1,1,0,0,20251208,20251212
FALL 2025-S-Weekday-1A-BaseUpdated-Sb6,1,1,1,1,1,0,0,20251208,20251212
FALL 2025-S-Weekday-1A-BaseUpdated-Sc0,1,1,1,1,1,0,0,20251208,20251212
FALL 2025-S-Weekday-1A-BaseUpdated-Sc5,1,1,1,1,1,0,0,20251208,20251212
FALL 2025-S-Weekday-1A-BaseUpdated-Sd5,1,1,1,1,1,0,0,20251208,20251212
FALL 2025-SOUTHSS-Weekend-5,0,0,0,1,0,1,1,20251127,20251207
FALL 2025-SOUTHSS-Weekend-5-S85407dc6,0,0,0,1,0,1,1,20251127,20251207
FALL 2025-SOUTHSS-Weekend-5-Sb0e4ed14,0,0,0,1,0,1,1,20251127,20251207
FALL 2025-SOUTHSS-Weekend-5-Sb7371956,0,0,0,1,0,1,1,20251127,20251207
FALL 2025-SOUTHSS-Weekend-5-Sc9a3b080,0,0,0,1,0,1,1,20251127,20251207
FALL 2025-SOUTHSS-Weekend-5-Scbbf1ea5,0,0,0,1,0,1,1,20251127,20251207
FALL 2025-SOUTHSS-Weekend-5-Sd88ed885,0,0,0,1,0,1,1,20251127,20251207
