trip_id,trip_property_id,value
71237308,note,Waits at Ashmont for last Red Line train
71237308,trip_type,wait
71243595,note,Waits at Ashmont for last Red Line train
71243595,trip_type,wait
71252088,note,Waits at Ashmont for last Red Line train
71252088,trip_type,wait
71361865,note,Waits at Ruggles for last Orange Line train
71361865,trip_type,wait
71361906,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
71361906,trip_type,wait
71362046,note,Waits at W Broadway @ Broadway Station for last Red Line train
71362046,trip_type,wait
71362133,note,Waits at Massachusetts Ave opp Holyoke St for last Red Line train
71362133,trip_type,wait
71362238,note,Waits at W Broadway @ Broadway Station for last Red Line train
71362238,trip_type,wait
71362265,note,Waits at Ruggles for last Orange Line train
71362265,trip_type,wait
71362453,note,Waits at Nubian for last Silver Line bus
71362453,trip_type,wait
71362462,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
71362462,trip_type,wait
71362659,note,Waits at Boylston St @ Dartmouth St for last Green Line train
71362659,trip_type,wait
71362740,note,Waits at Andrew for last Red Line train
71362740,trip_type,wait
71362741,note,Waits at Forest Hills for last Orange Line train
71362741,trip_type,wait
71363065,note,Waits at Nubian for last Silver Line bus
71363065,trip_type,wait
71363464,note,Waits at Kenmore for last Green Line train
71363464,trip_type,wait
71363466,note,Waits at Ruggles for last Orange Line train
71363466,trip_type,wait
71363467,note,Waits at Ashmont for last Red Line train
71363467,trip_type,wait
71364467,note,Waits at Ruggles for last Orange Line train
71364467,trip_type,wait
71364498,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
71364498,trip_type,wait
71364606,note,Waits at W Broadway @ Broadway Station for last Red Line train
71364606,trip_type,wait
71364799,note,Waits at W Broadway @ Broadway Station for last Red Line train
71364799,trip_type,wait
71364835,note,Waits at Ruggles for last Orange Line train
71364835,trip_type,wait
71364864,note,Waits at Green St @ Pearl St for last Red Line train
71364864,trip_type,wait
71364866,note,Waits at Ruggles for last Orange Line train
71364866,trip_type,wait
71364966,note,Waits at Boylston St @ Dartmouth St for last Green Line train
71364966,trip_type,wait
71365228,note,Waits at Andrew for last Red Line train
71365228,trip_type,wait
71365235,note,Waits at Forest Hills for last Orange Line train
71365235,trip_type,wait
71366486,note,Waits at Massachusetts Ave opp Holyoke St for last Red Line train
71366486,trip_type,wait
71366489,note,Waits at Nubian for last Silver Line bus
71366489,trip_type,wait
71366494,note,Waits at Ruggles for last Orange Line train
71366494,trip_type,wait
71366496,note,Waits at Ashmont for last Red Line train
71366496,trip_type,wait
71366500,note,Waits at Kenmore for last Green Line train
71366500,trip_type,wait
71366502,note,Waits at Nubian for last Silver Line bus
71366502,trip_type,wait
71366503,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
71366503,trip_type,wait
71372910,note,Does not run during school vacation
71372910,trip_type,supplemental
71372913,note,Does not run during school vacation
71372913,trip_type,supplemental
71372914,note,Does not run during school vacation
71372914,trip_type,supplemental
71372917,note,Does not run during school vacation
71372917,trip_type,supplemental
71372918,note,Does not run during school vacation
71372918,trip_type,supplemental
71372920,note,Does not run during school vacation
71372920,trip_type,supplemental
71372965,note,Does not run during school vacation
71372965,trip_type,supplemental
71373429,note,Does not run during school vacation
71373429,trip_type,supplemental
71374050,note,Does not run during school vacation
71374050,trip_type,supplemental
71374114,note,Does not run during school vacation
71374114,trip_type,supplemental
71374666,note,Does not run during school vacation
71374666,trip_type,supplemental
71374668,note,Does not run during school vacation
71374668,trip_type,supplemental
71374803,note,Does not run during school vacation
71374803,trip_type,supplemental
71374892,note,Does not run during school vacation
71374892,trip_type,supplemental
71375049,note,Does not run during school vacation
71375049,trip_type,supplemental
71375053,note,Does not run during school vacation
71375053,trip_type,supplemental
71375240,note,Does not run during school vacation
71375240,trip_type,supplemental
71375497,note,Does not run during school vacation
71375497,trip_type,supplemental
71377083,note,Waits at W Broadway @ Broadway Station for last Red Line train
71377083,trip_type,wait
71377124,note,Does not run during school vacation
71377124,trip_type,supplemental
71377126,note,Does not run during school vacation
71377126,trip_type,supplemental
71377198,note,Waits at W Broadway @ Broadway Station for last Red Line train
71377198,trip_type,wait
71377223,note,Does not run during school vacation
71377223,trip_type,supplemental
71377227,note,Does not run during school vacation
71377227,trip_type,supplemental
71377421,note,Does not run during school vacation
71377421,trip_type,supplemental
71377423,note,Does not run during school vacation
71377423,trip_type,supplemental
71377434,note,Does not run during school vacation
71377434,trip_type,supplemental
71377570,note,Does not run during school vacation
71377570,trip_type,supplemental
71377670,note,Does not run during school vacation
71377670,trip_type,supplemental
71377893,note,Does not run during school vacation
71377893,trip_type,supplemental
71377894,note,Does not run during school vacation
71377894,trip_type,supplemental
71377957,note,Does not run during school vacation
71377957,trip_type,supplemental
71377958,note,Does not run during school vacation
71377958,trip_type,supplemental
71377959,note,Does not run during school vacation
71377959,trip_type,supplemental
71377960,note,Does not run during school vacation
71377960,trip_type,supplemental
71377962,note,Does not run during school vacation
71377962,trip_type,supplemental
71377972,note,Does not run during school vacation
71377972,trip_type,supplemental
71377975,note,Does not run during school vacation
71377975,trip_type,supplemental
71378079,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
71378079,trip_type,wait
71378257,note,Does not run during school vacation
71378257,trip_type,supplemental
71378352,note,Waits at Ruggles for last Orange Line train
71378352,trip_type,wait
71378357,note,Waits at Ruggles for last Orange Line train
71378357,trip_type,wait
71378358,note,Waits at Ruggles for last Orange Line train
71378358,trip_type,wait
71378397,note,Does not run during school vacation
71378397,trip_type,supplemental
71378468,note,Does not run during school vacation
71378468,trip_type,supplemental
71378609,note,Does not run during school vacation
71378609,trip_type,supplemental
71378610,note,Does not run during school vacation
71378610,trip_type,supplemental
71378630,note,Does not run during school vacation
71378630,trip_type,supplemental
71378852,note,Waits at Andrew for last Red Line train
71378852,trip_type,wait
71378857,note,Waits at Boylston St @ Dartmouth St for last Green Line train
71378857,trip_type,wait
71378860,note,Waits at Forest Hills for last Orange Line train
71378860,trip_type,wait
71378897,note,Does not run during school vacation
71378897,trip_type,supplemental
71378903,note,Does not run during school vacation
71378903,trip_type,supplemental
71378910,note,Does not run during school vacation
71378910,trip_type,supplemental
71378921,note,Does not run during school vacation
71378921,trip_type,supplemental
71378974,note,Does not run during school vacation
71378974,trip_type,supplemental
71379009,note,Does not run during school vacation
71379009,trip_type,supplemental
71379163,note,Does not run during school vacation
71379163,trip_type,supplemental
71379257,note,Waits at Green St @ Pearl St for last Red Line train
71379257,trip_type,wait
71380130,note,Waits at Ashmont for last Red Line train
71380130,trip_type,wait
71380131,note,Waits at Ruggles for last Orange Line train
71380131,trip_type,wait
71380135,note,Waits at Kenmore for last Green Line train
71380135,trip_type,wait
71380137,note,Waits at Nubian for last Silver Line bus
71380137,trip_type,wait
71380139,note,Waits at Massachusetts Ave opp Holyoke St for last Red Line train
71380139,trip_type,wait
71380145,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
71380145,trip_type,wait
71380147,note,Waits at Nubian for last Silver Line bus
71380147,trip_type,wait
71383196,note,Waits at Ruggles for last Orange Line train
71383196,trip_type,wait
71383237,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
71383237,trip_type,wait
71383377,note,Waits at W Broadway @ Broadway Station for last Red Line train
71383377,trip_type,wait
71383464,note,Waits at Massachusetts Ave opp Holyoke St for last Red Line train
71383464,trip_type,wait
71383569,note,Waits at W Broadway @ Broadway Station for last Red Line train
71383569,trip_type,wait
71383596,note,Waits at Ruggles for last Orange Line train
71383596,trip_type,wait
71383784,note,Waits at Nubian for last Silver Line bus
71383784,trip_type,wait
71383793,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
71383793,trip_type,wait
71383990,note,Waits at Boylston St @ Dartmouth St for last Green Line train
71383990,trip_type,wait
71384071,note,Waits at Andrew for last Red Line train
71384071,trip_type,wait
71384072,note,Waits at Forest Hills for last Orange Line train
71384072,trip_type,wait
71384396,note,Waits at Nubian for last Silver Line bus
71384396,trip_type,wait
71384795,note,Waits at Kenmore for last Green Line train
71384795,trip_type,wait
71384797,note,Waits at Ruggles for last Orange Line train
71384797,trip_type,wait
71384798,note,Waits at Ashmont for last Red Line train
71384798,trip_type,wait
71465491,note,Waits at W Broadway @ Broadway Station for last Red Line train
71465491,trip_type,wait
